Company Name,Type,Ticker,Market Cap / Valuation (Billions USD),Notes,% of mkt cap attributable to defense,,,,,,,
Palantir,Public,PLTR,368,Defense analytics platform,45%,165.6,45%, 0.2329 ,,,,"Palantir, "
RTX,Public,RTX,211,Raytheon Technologies,60%,292.2,50%, 0.3664 ,,,,"Palantir, RTX, "
Boeing,Public,BA,177,Defense and aerospace,45%,371.85,49%, 0.4784 ,,,,"Palantir, RTX, Boeing, "
Honeywell,Public,HON,139,Defense systems,20%,399.65,45%, 0.5663 ,,,,"Palantir, RTX, Boeing, Honeywell, "
Lockheed Martin,Public,LMT,106,Defense contractor,93%,498.23,50%, 0.6334 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, "
General Dynamics,Public,GD,87.4,Defense systems,75%,563.78,52%, 0.6887 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, "
Northrop Grumman,Public,NOC,84,Defense technology,99%,646.94,55%, 0.7419 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, "
BAE Systems,Public,LON: BA,70.4,UK defense contractor,98%,715.932,58%, 0.7864 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, "
Thales,Public,HO.PA,54,European defense,65%,751.032,58%, 0.8206 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, "
L3Harris,Public,LHX,52,Communications and defense,90%,797.832,59%, 0.8535 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, "
Leonardo,Public,BIT: LDO,33.1,Italian defense,83%,825.305,60%, 0.8745 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, Leonardo, "
Rheinmetall,Public,ETR: RHM,90.5,German defense,80%,897.705,61%, 0.9317 ,,,,"Palantir, RTX, Boeing, Honeywell, Lockheed Martin, General Dynamics, Northrop Grumman, BAE Systems, Thales, L3Harris, Leonardo, Rheinmetall, "
