Company,Ticker,Sector,CSV_Market_Cap_B,Yahoo_Market_Cap_B,Closing_Price,Data_Date,Notes
RTX,RTX,space_tech,213.0,,,2025-08-29,Raytheon Technologies
Boeing,BA,space_tech,177.0,,,2025-08-29,Aerospace and defense
Airbus,AIR.PA,space_tech,165.0,,,2025-08-29,European aerospace
Lockheed Martin,LMT,space_tech,106.0,,,2025-08-29,Defense and space
General Dynamics,GD,space_tech,86.0,,,2025-08-29,Defense contractor
Northrop Grumman,NOC,space_tech,84.0,,,2025-08-29,Space and defense systems
Thales,HO.PA,space_tech,56.0,,,2025-08-29,European space and defense
L3Harris,LHX,space_tech,52.0,,,2025-08-29,Defense communications
Rocket Lab,RKLB,space_tech,23.0,,,2025-08-29,Small satellite launch
AST SpaceMobile,ASTS,space_tech,16.0,,,2025-08-29,Space-based cellular
EchoStar,SATS,space_tech,8.6,,,2025-08-29,Satellite communications
Viasat,VSAT,space_tech,3.8,,,2025-08-29,Satellite broadband
Iridium,IRDM,space_tech,2.6,,,2025-08-29,Satellite constellation
Planet Labs,PL,space_tech,2.1,,,2025-08-29,Earth observation
Intuitive Machines,LUNR,space_tech,1.6,,,2025-08-29,Lunar missions
Redwire,RDW,space_tech,1.3,,,2025-08-29,Space infrastructure
Virgin Galactic,SPCE,space_tech,0.18,,,2025-08-29,Space tourism
NVIDIA,NVDA,ai,4400.0,,,2025-08-29,AI chip leader
Microsoft,MSFT,ai,3900.0,,,2025-08-29,Azure AI and OpenAI partnership
Apple,AAPL,ai,3400.0,,,2025-08-29,Consumer AI integration
Google,GOOGL,ai,2500.0,,,2025-08-29,Gemini and AI research
Amazon,AMZN,ai,2500.0,,,2025-08-29,AWS AI services
Meta,META,ai,1900.0,,,2025-08-29,Llama and AI infrastructure
Broadcom,AVGO,ai,1400.0,,,2025-08-29,AI semiconductor infrastructure
Tesla,TSLA,ai,1100.0,,,2025-08-29,FSD and robotics AI
Oracle,ORCL,ai,650.0,,,2025-08-29,Cloud AI infrastructure
Palantir,PLTR,ai,385.0,,,2025-08-29,Enterprise AI platforms
AMD,AMD,ai,280.0,,,2025-08-29,AI GPU competitor
ServiceNow,NOW,ai,180.0,,,2025-08-29,Enterprise AI workflows
AppLovin,APP,ai,150.0,,,2025-08-29,Mobile AI advertising
Snowflake,SNOW,ai,65.0,,,2025-08-29,AI data platform
CoreWeave,CWAI,ai,45.0,,,2025-08-29,AI cloud infrastructure
Datadog,DDOG,ai,45.0,,,2025-08-29,AI observability
Astera Labs,ALAB,ai,30.0,,,2025-08-29,AI connectivity chips
Tempus,TEM,ai,14.0,,,2025-08-29,AI-driven healthcare
C3.ai,AI,ai,2.3,,,2025-08-29,Enterprise AI applications
Broadcom,AVGO,cybersecurity,1451.0,,,2025-08-29,Includes Symantec portfolio
Cisco,CSCO,cybersecurity,271.0,,,2025-08-29,Major security portfolio
Palo Alto Networks,PANW,cybersecurity,122.0,,,2025-08-29,Largest pure-play cybersecurity
CrowdStrike,CRWD,cybersecurity,94.0,,,2025-08-29,Endpoint protection leader
Fortinet,FTNT,cybersecurity,72.0,,,2025-08-29,Network security
Cloudflare,NET,cybersecurity,68.0,,,2025-08-29,Web security and CDN
Datadog,DDOG,cybersecurity,45.0,,,2025-08-29,Observability + security
Zscaler,ZS,cybersecurity,31.0,,,2025-08-29,Cloud security
CyberArk,CYBR,cybersecurity,22.0,,,2025-08-29,Identity security
Check Point,CHKP,cybersecurity,20.0,,,2025-08-29,Network security
Gen Digital,GEN,cybersecurity,18.0,,,2025-08-29,Norton/Avast consumer security
Okta,OKTA,cybersecurity,16.0,,,2025-08-29,Identity management
SentinelOne,S,cybersecurity,5.6,,,2025-08-29,AI-powered endpoint security
Qualys,QLYS,cybersecurity,4.8,,,2025-08-29,Cloud security compliance
Tenable,TENB,cybersecurity,3.6,,,2025-08-29,Vulnerability management
Rapid7,RPD,cybersecurity,1.6,,,2025-08-29,Security analytics
Palantir,PLTR,defense_tech,385.0,,,2025-08-29,Defense analytics platform
RTX,RTX,defense_tech,213.0,,,2025-08-29,Raytheon Technologies
Boeing,BA,defense_tech,177.0,,,2025-08-29,Defense and aerospace
Honeywell,HON,defense_tech,147.0,,,2025-08-29,Defense systems
Lockheed Martin,LMT,defense_tech,106.0,,,2025-08-29,Defense contractor
General Dynamics,GD,defense_tech,86.0,,,2025-08-29,Defense systems
Northrop Grumman,NOC,defense_tech,84.0,,,2025-08-29,Defense technology
BAE Systems,BA.L,defense_tech,65.0,,,2025-08-29,UK defense contractor
Thales,HO.PA,defense_tech,56.0,,,2025-08-29,European defense
L3Harris,LHX,defense_tech,52.0,,,2025-08-29,Communications and defense
Leonardo,LDO.MI,defense_tech,28.0,,,2025-08-29,Italian defense
Rheinmetall,RHM.DE,defense_tech,26.0,,,2025-08-29,German defense
Leidos,LDOS,defense_tech,24.0,,,2025-08-29,Defense IT
Booz Allen,BAH,defense_tech,22.0,,,2025-08-29,Defense consulting
Textron,TXT,defense_tech,18.0,,,2025-08-29,Defense systems
Elbit Systems,ESLT,defense_tech,14.0,,,2025-08-29,Israeli defense
CACI,CACI,defense_tech,12.0,,,2025-08-29,Defense IT services
Huntington Ingalls,HII,defense_tech,11.0,,,2025-08-29,Shipbuilding
SAIC,SAIC,defense_tech,9.5,,,2025-08-29,Defense technology
KBR,KBR,defense_tech,9.2,,,2025-08-29,Defense services
Nvidia,NVDA,quantum,4400.0,,,2025-08-29,GPU computing for quantum simulation
Microsoft,MSFT,quantum,3900.0,,,2025-08-29,Azure Quantum cloud platform
Google,GOOGL,quantum,2500.0,,,2025-08-29,Quantum AI and Sycamore processor
Amazon,AMZN,quantum,2500.0,,,2025-08-29,AWS Braket quantum cloud
IBM,IBM,quantum,180.0,,,2025-08-29,Quantum Network and processors
Honeywell,HON,quantum,147.0,,,2025-08-29,Quantum solutions division
Intel,INTC,quantum,140.0,,,2025-08-29,Quantum computing research
IonQ,IONQ,quantum,6.4,,,2025-08-29,Pure-play quantum computing
D-Wave,QBTS,quantum,4.5,,,2025-08-29,Quantum annealing systems
Rigetti,RGTI,quantum,3.5,,,2025-08-29,Quantum cloud services
Quantum Computing Inc,QUBT,quantum,0.8,,,2025-08-29,Quantum software
Arqit Quantum,ARQQ,quantum,0.15,,,2025-08-29,Quantum encryption
Intuitive Surgical,ISRG,robotics,202.0,,,2025-08-29,Surgical robotics leader
Keyence,6861.T,robotics,134.0,,,2025-08-29,Industrial automation
ABB,ABB,robotics,87.0,,,2025-08-29,Industrial robotics
Fanuc,6954.T,robotics,45.0,,,2025-08-29,CNC and robotics
Rockwell Automation,ROK,robotics,37.0,,,2025-08-29,Industrial automation
Zebra Technologies,ZBRA,robotics,24.0,,,2025-08-29,Automation solutions
Teradyne,TER,robotics,21.0,,,2025-08-29,Test automation
Yaskawa,6506.T,robotics,17.0,,,2025-08-29,Servo and robotics
Omron,6645.T,robotics,16.0,,,2025-08-29,Automation components
Cognex,CGNX,robotics,7.6,,,2025-08-29,Machine vision
PROCEPT BioRobotics,PRCT,robotics,7.0,,,2025-08-29,Surgical robotics
Kuka,KU2.DE,robotics,5.2,,,2025-08-29,Industrial robots
Brooks Automation,BRKS,robotics,3.8,,,2025-08-29,Semiconductor automation
Harmonic Drive,6324.T,robotics,2.8,,,2025-08-29,Precision gears
